"order_id","order_date","order_total","user_type","product_id","variation_id","quantity","coupon","meta.yarn_usage"
"21937",2021-02-15,333.33,"registered customer","16546","16548",1,NA,NA
"21937",2021-02-15,333.33,"registered customer","16546","16556",1,NA,NA
"21937",2021-02-15,333.33,"registered customer","16934","21583",6,NA,NA
"21937",2021-02-15,333.33,"registered customer","16934","21584",6,NA,NA
"21937",2021-02-15,333.33,"registered customer","16934","21585",6,NA,NA
"21937",2021-02-15,333.33,"registered customer","18281","18289",1,NA,NA
"21937",2021-02-15,333.33,"registered customer","18281","20572",1,NA,NA
"21937",2021-02-15,333.33,"registered customer","18281","21137",1,NA,NA
"21937",2021-02-15,333.33,"registered customer","18281","21138",1,NA,NA
"21937",2021-02-15,333.33,"registered customer","19708","19710",1,NA,NA
"21937",2021-02-15,333.33,"registered customer","19708","19713",1,NA,NA
"21937",2021-02-15,333.33,"registered customer","21429","21435",1,NA,NA
"21932",2021-02-15,118.3,"registered customer","19175","19176",1,NA,NA
